  UID   PID TTY           TIME CMD
  501   658 ??         0:00.39 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501   659 ??         0:00.16 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  501   660 ??         0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  501   662 ??         0:00.50 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  501   663 ??         0:00.06 /usr/libexec/findmydevice-user-agent
  501   665 ??         0:00.49 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   666 ??         0:01.02 /usr/libexec/transparencyd
  501   667 ??         0:00.13 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   668 ??         0:00.39 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501   669 ??         0:05.59 /usr/libexec/sharingd
  501   670 ??         0:00.18 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   671 ??         0:05.08 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   673 ??         0:01.35 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   674 ??         0:00.46 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   675 ??         0:00.03 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  501   676 ??         0:00.01 /System/Library/CoreServices/ReportCrash agent
  501   677 ??         0:00.40 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501   678 ??         0:00.17 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  501   679 ??         0:00.58 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   680 ??         0:00.15 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   681 ??         0:00.89 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501   682 ??         0:05.84 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  501   683 ??         0:00.04 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  501   684 ??         0:00.67 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501   685 ??         0:01.48 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   686 ??         0:00.04 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  501   687 ??         0:00.19 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501   688 ??         0:00.03 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  501   689 ??         0:00.01 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   690 ??         0:00.12 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   691 ??         0:00.14 /usr/libexec/neagent
  501   692 ??         0:00.02 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   693 ??         0:00.13 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   694 ??         0:00.86 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
  501   695 ??         0:00.43 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  501   696 ??         0:04.03 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
  501   697 ??         0:00.37 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
  501   698 ??         0:00.25 /usr/libexec/fmfd
  501   699 ??         0:00.20 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  501   700 ??         0:02.45 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
  501   701 ??         0:00.05 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   702 ??         0:00.74 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  501   703 ??         0:00.56 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
